"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 16 20:04:33 GMT 2024","Mon Dec 16 20:04:33 GMT 2024","1","","Review Service Unit Test","","LibraryApp.Tests.UnitTests.Services.ReviewServiceUnitTests","LibraryApp.Tests.UnitTests.Services.ReviewServiceUnitTests.DeleteReview","LibraryApp.Tests.UnitTests.Services.ReviewServiceUnitTests.DeleteReview",""
"passed","Mon Dec 16 20:04:33 GMT 2024","Mon Dec 16 20:04:33 GMT 2024","4","","News Service Unit Test","","LibraryApp.Tests.UnitTests.Services.NewsServiceUnitTests","LibraryApp.Tests.UnitTests.Services.NewsServiceUnitTests.GetNewsById","LibraryApp.Tests.UnitTests.Services.NewsServiceUnitTests.GetNewsById",""
"passed","Mon Dec 16 20:04:33 GMT 2024","Mon Dec 16 20:04:33 GMT 2024","4","","Book Service Unit Test","","LibraryApp.Tests.UnitTests.Services.BookServiceUnitTests","LibraryApp.Tests.UnitTests.Services.BookServiceUnitTests.GetBook","LibraryApp.Tests.UnitTests.Services.BookServiceUnitTests.GetBook",""
"passed","Mon Dec 16 20:04:33 GMT 2024","Mon Dec 16 20:04:33 GMT 2024","8","","Collection Service Unit Test","","LibraryApp.Tests.UnitTests.Services.CollectionServiceUnitTests","LibraryApp.Tests.UnitTests.Services.CollectionServiceUnitTests.GetCollections","LibraryApp.Tests.UnitTests.Services.CollectionServiceUnitTests.GetCollections",""
"passed","Mon Dec 16 20:04:34 GMT 2024","Mon Dec 16 20:04:34 GMT 2024","30","","E2E Test","","LibraryApp.Tests.E2E.E2ETests","LibraryApp.Tests.E2E.E2ETests.addBookIntoCollection","LibraryApp.Tests.E2E.E2ETests.addBookIntoCollection",""
"passed","Mon Dec 16 20:04:33 GMT 2024","Mon Dec 16 20:04:33 GMT 2024","2","","Order Service Unit Test","","LibraryApp.Tests.UnitTests.Services.OrderServiceUnitTests","LibraryApp.Tests.UnitTests.Services.OrderServiceUnitTests.UpdateOrder","LibraryApp.Tests.UnitTests.Services.OrderServiceUnitTests.UpdateOrder",""
"passed","Mon Dec 16 20:04:33 GMT 2024","Mon Dec 16 20:04:33 GMT 2024","23","","News Repository Unit Test","","LibraryApp.Tests.UnitTests.DataAccess.NewsRepositoryUnitTests","LibraryApp.Tests.UnitTests.DataAccess.NewsRepositoryUnitTests.DeleteGetNews","LibraryApp.Tests.UnitTests.DataAccess.NewsRepositoryUnitTests.DeleteGetNews",""
"passed","Mon Dec 16 20:04:34 GMT 2024","Mon Dec 16 20:04:34 GMT 2024","9","","E2E Test","","LibraryApp.Tests.E2E.E2ETests","LibraryApp.Tests.E2E.E2ETests.createAuthorAndBook","LibraryApp.Tests.E2E.E2ETests.createAuthorAndBook",""
"passed","Mon Dec 16 20:04:33 GMT 2024","Mon Dec 16 20:04:33 GMT 2024","4","","Book Service Unit Test","","LibraryApp.Tests.UnitTests.Services.BookServiceUnitTests","LibraryApp.Tests.UnitTests.Services.BookServiceUnitTests.AddOwnership","LibraryApp.Tests.UnitTests.Services.BookServiceUnitTests.AddOwnership",""
"passed","Mon Dec 16 20:04:33 GMT 2024","Mon Dec 16 20:04:33 GMT 2024","2","","Review Service Unit Test","","LibraryApp.Tests.UnitTests.Services.ReviewServiceUnitTests","LibraryApp.Tests.UnitTests.Services.ReviewServiceUnitTests.UpdateReview","LibraryApp.Tests.UnitTests.Services.ReviewServiceUnitTests.UpdateReview",""
"passed","Mon Dec 16 20:04:33 GMT 2024","Mon Dec 16 20:04:33 GMT 2024","18","","News Service Unit Test","","LibraryApp.Tests.UnitTests.Services.NewsServiceUnitTests","LibraryApp.Tests.UnitTests.Services.NewsServiceUnitTests.UpdateNews","LibraryApp.Tests.UnitTests.Services.NewsServiceUnitTests.UpdateNews",""
"passed","Mon Dec 16 20:04:32 GMT 2024","Mon Dec 16 20:04:33 GMT 2024","748","","Collection Repository Unit Test","","LibraryApp.Tests.UnitTests.DataAccess.CollectionRepositoryUnitTests","LibraryApp.Tests.UnitTests.DataAccess.CollectionRepositoryUnitTests.DeleteGetCollection","LibraryApp.Tests.UnitTests.DataAccess.CollectionRepositoryUnitTests.DeleteGetCollection",""
"passed","Mon Dec 16 20:04:33 GMT 2024","Mon Dec 16 20:04:33 GMT 2024","1","","Book Service Unit Test","","LibraryApp.Tests.UnitTests.Services.BookServiceUnitTests","LibraryApp.Tests.UnitTests.Services.BookServiceUnitTests.DeleteBook","LibraryApp.Tests.UnitTests.Services.BookServiceUnitTests.DeleteBook",""
"passed","Mon Dec 16 20:04:33 GMT 2024","Mon Dec 16 20:04:33 GMT 2024","3","","Author Service Unit Test","","LibraryApp.Tests.UnitTests.Services.AuthorServiceUnitTests","LibraryApp.Tests.UnitTests.Services.AuthorServiceUnitTests.UpdateAuthor","LibraryApp.Tests.UnitTests.Services.AuthorServiceUnitTests.UpdateAuthor",""
"passed","Mon Dec 16 20:04:34 GMT 2024","Mon Dec 16 20:04:34 GMT 2024","3","","Collections Service Integ Test","","LibraryApp.Tests.Integration.Tests.CollectionsIntegTests","LibraryApp.Tests.Integration.Tests.CollectionsIntegTests.TestAdd","LibraryApp.Tests.Integration.Tests.CollectionsIntegTests.TestAdd",""
"passed","Mon Dec 16 20:04:33 GMT 2024","Mon Dec 16 20:04:33 GMT 2024","4","","News Service Unit Test","","LibraryApp.Tests.UnitTests.Services.NewsServiceUnitTests","LibraryApp.Tests.UnitTests.Services.NewsServiceUnitTests.DeleteNews","LibraryApp.Tests.UnitTests.Services.NewsServiceUnitTests.DeleteNews",""
"passed","Mon Dec 16 20:04:34 GMT 2024","Mon Dec 16 20:04:34 GMT 2024","135","","Orders Service Integ Test","","LibraryApp.Tests.Integration.Tests.OrdersIntegTests","LibraryApp.Tests.Integration.Tests.OrdersIntegTests.GetOrder","LibraryApp.Tests.Integration.Tests.OrdersIntegTests.GetOrder",""
"passed","Mon Dec 16 20:04:32 GMT 2024","Mon Dec 16 20:04:33 GMT 2024","725","","Order Repository Unit Test","","LibraryApp.Tests.UnitTests.DataAccess.OrderRepositoryUnitTests","LibraryApp.Tests.UnitTests.DataAccess.OrderRepositoryUnitTests.PostGetOrder","LibraryApp.Tests.UnitTests.DataAccess.OrderRepositoryUnitTests.PostGetOrder",""
"passed","Mon Dec 16 20:04:33 GMT 2024","Mon Dec 16 20:04:33 GMT 2024","66","","Book Repository Unit Test","","LibraryApp.Tests.UnitTests.DataAccess.BookRepositoryUnitTests","LibraryApp.Tests.UnitTests.DataAccess.BookRepositoryUnitTests.PostGetBook","LibraryApp.Tests.UnitTests.DataAccess.BookRepositoryUnitTests.PostGetBook",""
"passed","Mon Dec 16 20:04:33 GMT 2024","Mon Dec 16 20:04:33 GMT 2024","4","","Collection Repository Unit Test","","LibraryApp.Tests.UnitTests.DataAccess.CollectionRepositoryUnitTests","LibraryApp.Tests.UnitTests.DataAccess.CollectionRepositoryUnitTests.PostGetCollection","LibraryApp.Tests.UnitTests.DataAccess.CollectionRepositoryUnitTests.PostGetCollection",""
"passed","Mon Dec 16 20:04:34 GMT 2024","Mon Dec 16 20:04:34 GMT 2024","28","","Reviews Service Integ Test","","LibraryApp.Tests.Integration.Tests.ReviewsIntegTests","LibraryApp.Tests.Integration.Tests.ReviewsIntegTests.TestAdd","LibraryApp.Tests.Integration.Tests.ReviewsIntegTests.TestAdd",""
